Id_x,TweetId,Url,ExpandedUrl_x,DisplayUrl,UserId,NewsId,ExpandedUrl_y,ShortUrl,SourceUrl
1950473,11027412007522304,http://dlvr.it/9jdxd,http://dlvr.it/9jdxd,http://dlvr.it/9jdxd,57869243,27116,http://dlvr.it/9jdxd,http://dlvr.it/9jdxd,http://dlvr.it
1950477,11027414167588864,http://dlvr.it/9jdxj,http://dlvr.it/9jdxj,http://dlvr.it/9jdxj,57869243,27118,http://dlvr.it/9jdxj,http://dlvr.it/9jdxj,http://dlvr.it
1950478,11027415362965504,http://dlvr.it/9jdxn,http://dlvr.it/9jdxn,http://dlvr.it/9jdxn,57869243,27119,http://dlvr.it/9jdxn,http://dlvr.it/9jdxn,http://dlvr.it
1950489,11027446560194560,http://nyti.ms/f4evvG,http://nyti.ms/f4evvG,http://nyti.ms/f4evvG,181127761,27123,http://nyti.ms/f4evvG,http://nyti.ms/f4evvG,http://nyti.ms
1950536,11027544065183744,http://www.bbc.co.uk/news/world-us-canada-11917891,http://www.bbc.co.uk/news/world-us-canada-11917891,http://www.bbc.co.uk/news/world-us-canada-11917891,159214949,27096,http://www.bbc.co.uk/news/world-us-canada-11917891,http://www.bbc.co.uk/news/world-us-canada-11917891,http://www.bbc.co.uk
1950648,11027868947587072,http://bit.ly/g8ZV5q,http://bit.ly/g8ZV5q,http://bit.ly/g8ZV5q,124548367,27141,http://bit.ly/g8ZV5q,http://bit.ly/g8ZV5q,http://bit.ly
1950733,10783359898750977,http://bbc.in/fSwmEz,http://bbc.in/fSwmEz,http://bbc.in/fSwmEz,742143,27150,http://bbc.in/fSwmEz,http://bbc.in/fSwmEz,http://bbc.in
1950753,11028226415534080,http://4sq.com/hNdou6,http://4sq.com/hNdou6,http://4sq.com/hNdou6,69209539,27156,http://4sq.com/hNdou6,http://4sq.com/hNdou6,http://4sq.com
1950758,11028227229220864,http://4sq.com/fJ8q4m,http://4sq.com/fJ8q4m,http://4sq.com/fJ8q4m,69209539,27158,http://4sq.com/fJ8q4m,http://4sq.com/fJ8q4m,http://4sq.com
1950760,10783360829882369,http://bbc.in/fsyZZh,http://bbc.in/fsyZZh,http://bbc.in/fsyZZh,742143,27159,http://bbc.in/fsyZZh,http://bbc.in/fsyZZh,http://bbc.in
