index,UserId,TimeStamp,Text,Extracted_Links,Tokens,TopicInterests
964,19879777,1,"LMAO! Drunken @hodakotb in a thong!!  Good thing I have a mimosa to drink to that!! RT @LeahMOB: Just got the best email from my grandma. Ever. @MalibuEve dish it girl!! :-) RT @dramaqueene: John McCain will never get over that he lost the election so he wants to make every1's life miserable because of it. #DADT RT @GMWatch: Dupont follows #Monsanto in new move to consolidate South African seed market http://bit.ly/g89n9L #gmo RT @JeffProbst: read ew blog but in a nutshell - because we let Janu stay on the jury after she quit, there was a precedent set that had ...",['http://bit.ly/g89n9L'],"['lmao', 'drunken', 'thong', 'good', 'thing', 'mimosa', 'drink', 'email', 'grandma', 'dish', 'girl', 'john', 'mccain', 'lost', 'election', 'everys', 'life', 'miserable', 'dadt', 'dupont', 'monsanto', 'south', 'african', 'seed', 'market', 'gmo', 'read', 'blog', 'nutshell', 'janu', 'stay', 'jury', 'quit', 'precedent', 'set']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.989, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
965,19879777,2,"@jinxiejinxx32 don't know, guess we'll soon learn what it is.",[],"['dont', 'guess', 'learn']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.887, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
979,19979031,0,"In car leaving London to go to Manchester, very long day set off at 6am. Thankfully I'm not driving! @TaylorJamesScot bad times",[],"['car', 'leaving', 'london', 'manchester', 'long', 'day', 'set', 'thankfully', 'driving', 'bad', 'times']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.966, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
980,19979031,1,"@mgshanks I know. @JHepplestone can't be bothered. Just been confirmed England DID go out of the World Cup 2018 in the first round whats the best thing u will be doing this weekend — Not sure, should be going to Oldham to campaign http://4ms.me/gowbPf @Cardiff_Blogger Indeed!",['http://4ms.me/gowbPf'],"['bothered', 'confirmed', 'england', 'cup', 'round', 'thing', 'weekend', 'oldham', 'campaign']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.959, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
981,19979031,2,"@Jason_Prince it is awesome! @amccaul1985 ;) RT @GranadaReports: Phil Woolas said: ""That is the end, I am out."" @DPJHodges he's give in and said ""that's it, I am out"" #woolas @happyslayeruk again MPs from all parties clamed for things they shouldn't have, and remember it's a Tory peer also in court! @DomJBrown you'll get the usual fools standing for publicity, and then Griffin who will bring racial tension back to Oldham @andrewspooner they are in court a lot, will be a very interesting by-election",[],"['awesome', 'phil', 'woolas', 'woolas', 'mps', 'parties', 'clamed', 'things', 'shouldnt', 'remember', 'tory', 'peer', 'court', 'youll', 'usual', 'fools', 'standing', 'publicity', 'griffin', 'bring', 'racial', 'tension', 'oldham', 'court', 'lot', 'byelection']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.985, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1036,20709918,0,"@cspanwj WILSON forgot to tell AMERICA that they are now run by MILITARY! TEA PARTY style! @Senate_GOPs Bush WSJ Worst Track Record http://shar.es/mE4eI @camanpour Warren Buffet: Rising tides lift all Yachts not all boats! #p2 RT @EBC009: @GStephanopoulos WHY isn't media putting GOP on BLAST re: voting NO on ALL bills that would boost economic & jobs growth??   ... @HARRYREID GOP LEADER === SPECIAL INTEREST GROUPS?  --- MCCONNELL? Lets looka t your TOYTOTA CENTER in KENTUCKY! @cspan RT @KatrinaNation: @todayspolitics so much for GOP & compromise in one sentence/OxymoronIC. @ABC  @ABCPOLITICS GW Bush May 23, 2000 - 18:00 mins starts w him BLOWING 4 TRILLION surplus http://cs.pn/cDwv3m #p2 @HARRYREID Gregg-VOTED RECONCILIATION - "" Bush tax cuts are single largest part of BLACK HOLE Fed Budget DEFICIT"" http://bit.ly/c6NoOA RT @FCC: Chairman's blog post outlines 3 basic #openinternet principles protecting consumers and innovators: http://bit.ly/fOHei6 @HARRYREID  called Sen Kirk office-202 224 2854 -advised him to speak to the Senate #START EXPERT ---> Dick Lugar http://bit.ly/dli372 #p2 @DSCC Does ALEXANDER think AMERICAN people are STUPID? S.C. Senator Jim DeMint Says Senate Goal Is “Complete Gridlock” http://bit.ly/d4RHb2 RT @sunshineejc: ""#Democracy is one man one vote~Corporatism is one dollar one vote""~Chris Hedges~Pulitzer Prize~NYT~~#p2 #tlot #sgp #fi ... RT @ggreenwald: Thankfully, Joe Lieberman is deciding what we can and can't see on the Internet - that's necessary to Defend Freedom:  h ...","['http://shar.es/mE4eI', 'http://cs.pn/cDwv3m', 'http://bit.ly/c6NoOA', 'http://bit.ly/fOHei6', 'http://bit.ly/dli372', 'http://bit.ly/d4RHb2']","['wilson', 'forgot', 'america', 'military', 'tea', 'party', 'style', 'bush', 'wsj', 'worst', 'track', 'record', 'warren', 'buffet', 'rising', 'tides', 'lift', 'yachts', 'boats', 'isnt', 'media', 'putting', 'gop', 'blast', 'voting', 'bills', 'boost', 'economic', 'jobs', 'growth', 'gop', 'leader', 'special', 'groups', 'mcconnell', 'looka', 'toytota', 'center', 'kentucky', 'gop', 'compromise', 'bush', 'mins', 'starts', 'blowing', 'trillion', 'surplus', 'greggvoted', 'bush', 'tax', 'cuts', 'single', 'largest', 'black', 'hole', 'fed', 'budget', 'deficit', 'chairmans', 'blog', 'post', 'outlines', 'basic', 'principles', 'protecting', 'consumers', 'innovators', 'called', 'sen', 'kirk', 'office', 'advised', 'speak', 'senate', 'start', 'expert', 'dick', 'lugar', 'alexander', 'american', 'people', 'stupid', 'senator', 'jim', 'demint', 'senate', 'goal', 'complete', 'gridlock', 'democracy', 'man', 'dollar', 'votechris', 'prizenytp', 'tlot', 'sgp', 'thankfully', 'joe', 'lieberman', 'deciding', 'internet', 'defend', 'freedom']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1037,20709918,1,"@cspanwj GW Bush May 23, 2000 - 18:00 mins starts w him BLOWING 4 TRILLION surplus http://cs.pn/cDwv3m #p2 @cspanwj NO Scooter DID NOT serve time-------------- @geoff9cow McCain: I Won’t Work With Dems - http://bit.ly/b6GyZi #START AMERICA THINK? @cspanwj","['http://cs.pn/cDwv3m', 'http://bit.ly/b6GyZi']","['bush', 'mins', 'starts', 'blowing', 'trillion', 'surplus', 'scooter', 'serve', 'time', 'mccain', 'work', 'dems', 'start', 'america']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1038,20709918,2,@Cspanwj PETER ROSKAM had to get back to his constituents regarding his EXPENSE account! TN RACIST ----  worried about color of skin! #p2 RT @dpleasant: I sure hope D.C. keeps talking about deficits since jobs are the #1 issue. Why would we ever focus on the most important  ... @cspanwj If you look at all US Corporations that do not pay to use USD CURRENCY for free--- we might bring down #DEBT #p2 #NOJOBS #trade RT @Mr_Pettapucci: @cspanwj there will be NO compromise with the republican bastards @CSPANJUNKY tell REAL AMERICANS how many DEL MONTE JOBS in USA ? How many CATERPILLAR jobs? They use USD currency for FREE! @cspanwj RT @TLW3: Tea Party pols who (heart) their earmarks http://is.gd/i8RLX #p2 #p21 #dems #tcot #tlot #wc #ocra #tpp @CNN Foreign Press Says What American Press Is Too Cowered/Stupid/Biased To Say: Sarah Palin Is A Traitor: http://bit.ly/fSuPQd,"['http://is.gd/i8RLX', 'http://bit.ly/fSuPQd']","['peter', 'roskam', 'expense', 'account', 'racist', 'worried', 'color', 'skin', 'hope', 'talking', 'deficits', 'jobs', 'issue', 'focus', 'pay', 'usd', 'currency', 'free', 'bring', 'debt', 'nojobs', 'trade', 'compromise', 'republican', 'bastards', 'real', 'americans', 'del', 'monte', 'jobs', 'usa', 'jobs', 'usd', 'currency', 'free', 'tea', 'party', 'pols', 'heart', 'earmarks', 'dems', 'tcot', 'tlot', 'ocra', 'tpp', 'foreign', 'press', 'american', 'press', 'sarah', 'palin', 'traitor']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1039,20745573,0,"you see these pipes, u look at that water? gangster chicks facilitate that the most... Your house is too big man, unless all those girls in there dont' get untied...Indian Bingo Boi ...a person who doesn't know they're being prayed for... :*( RT @BBCTech: GCHQ technology 'could be sold' http://bbc.in/e7XbkS",['http://bbc.in/e7XbkS'],"['pipes', 'water', 'gangster', 'chicks', 'facilitate', 'house', 'big', 'man', 'girls', 'dont', 'bingo', 'boi', 'person', 'doesnt', 'prayed', 'gchq', 'technology', 'sold']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.979, 0.0, 0.0, 0.0, 0.0]"
1040,20745573,1,0OK when i was small i always said ok. @S_Johansson friends? Just thinking of you... chillin like that ....,[],"['small', 'friends', 'thinking', 'chillin']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
