"Id";"TweetId";"Text";"StartIndex";"EndIndex";"EntityTypeCode";"Url";"ExpandedUrl";"DisplayUrl";"Name";"ScreenName";"UserOrMediaId";"MediaUrl";"MediaUrlHttps";"MediaType";"MediaSize"
3336;3515335609159681;"CNN";0;4;3;"";"";"";"CNN";"CNN";759251;"";"";"";""
3337;3515335609159681;"hcr";29;33;4;"";"";"";"";"";0;"";"";"";""
3338;29279722993;"http://bbc.in/9ywa7s";34;54;2;"http://bbc.in/9ywa7s";"http://www.bbc.co.uk/news/world-asia-pacific-11661330?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/9ywa7s";"";"";0;"";"";"";""
3339;3515781933441024;"http://bbc.in/9ywa7s";50;70;2;"http://bbc.in/9ywa7s";"http://www.bbc.co.uk/news/world-asia-pacific-11661330?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/9ywa7s";"";"";0;"";"";"";""
3340;3515781933441024;"bbcscitech";3;14;3;"";"";"";"BBC SciTech";"bbcscitech";621573;"";"";"";""
3341;3514611651317760;"http://bbc.in/abz2Ei";33;53;2;"http://bbc.in/abz2Ei";"http://www.bbc.co.uk/news/uk-northern-ireland-11750415?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/abz2Ei";"";"";0;"";"";"";""
3342;3516121042911232;"http://bbc.in/abz2Ei";46;66;2;"http://bbc.in/abz2Ei";"http://www.bbc.co.uk/news/uk-northern-ireland-11750415?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/abz2Ei";"";"";0;"";"";"";""
3343;3516121042911232;"BBCNews";3;11;3;"";"";"";"BBC News";"BBCNews";612473;"";"";"";""
3344;3516123681132544;"nytimes";0;8;3;"";"";"";"The New York Times";"nytimes";807095;"";"";"";""
3345;3516123681132544;"50cent";32;39;3;"";"";"";"50cent";"50cent";18222378;"";"";"";""
3346;3516123681132544;"teamfollowback";47;62;4;"";"";"";"";"";0;"";"";"";""
3347;3515732298047488;"http://bbc.in/cLDIVu";96;116;2;"http://bbc.in/cLDIVu";"http://news.bbc.co.uk/sport2/hi/rugby_union/welsh/9187019.stm";"http://bbc.in/cLDIVu";"";"";0;"";"";"";""
3348;3516189829500928;"http://bbc.in/cLDIVu";117;137;2;"http://bbc.in/cLDIVu";"http://news.bbc.co.uk/sport2/hi/rugby_union/welsh/9187019.stm";"http://bbc.in/cLDIVu";"";"";0;"";"";"";""
3349;3516189829500928;"bbcsport_ticker";3;19;3;"";"";"";"BBC Sport Breaking";"bbcsport_ticker";123667383;"";"";"";""
3350;3516805410717696;"CNN";0;4;3;"";"";"";"CNN";"CNN";759251;"";"";"";""
3351;3516805410717696;"PixieDust";29;39;4;"";"";"";"";"";0;"";"";"";""
3352;3516904165605376;"http://on.cnn.com/9RjWCc";79;103;2;"http://on.cnn.com/9RjWCc";"http://www.cnn.com/2010/SHOWBIZ/celebrity.news.gossip/11/13/gabor.goes.home/index.html";"http://on.cnn.com/9RjWCc";"";"";0;"";"";"";""
3353;3516904165605376;"ZsaZsaGabor";0;12;4;"";"";"";"";"";0;"";"";"";""
3354;3516998642307072;"http://on.cnn.com/9RjWCc";91;115;2;"http://on.cnn.com/9RjWCc";"http://www.cnn.com/2010/SHOWBIZ/celebrity.news.gossip/11/13/gabor.goes.home/index.html";"http://on.cnn.com/9RjWCc";"";"";0;"";"";"";""
3355;3516998642307072;"cnnbrk";3;10;3;"";"";"";"CNN Breaking News";"cnnbrk";428333;"";"";"";""
3356;3516998642307072;"ZsaZsaGabor";12;24;4;"";"";"";"";"";0;"";"";"";""
3357;3517179450363904;"cnnbrk";0;7;3;"";"";"";"CNN Breaking News";"cnnbrk";428333;"";"";"";""
3359;3517179890765824;"http://on.cnn.com/cxDY3i";73;97;2;"http://on.cnn.com/cxDY3i";"http://news.blogs.cnn.com/2010/11/13/myanmar-activist-aung-san-suu-kyi-released/";"http://on.cnn.com/cxDY3i";"";"";0;"";"";"";""
3360;3517179890765824;"cnnbrk";3;10;3;"";"";"";"CNN Breaking News";"cnnbrk";428333;"";"";"";""
3361;3517153496006658;"http://bbc.in/aBD6gY";34;54;2;"http://bbc.in/aBD6gY";"http://www.bbc.co.uk/news/world-us-canada-11751202?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/aBD6gY";"";"";0;"";"";"";""
